Código,Nome,Enderezo,Concello,Provincia,CP,Telefono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
15006882,CPR Pluriling&uuml;e Valle Incl&aacute;n I,Estrada de Xoane n.170-172,Ferrol,A Coru&ntilde;a,15405,981330140,CPR,43.49623,-8.235986,Privada,Si,Non
15007230,CPR Ntra.Sra. del Carmen,R&uacute;a Virxe das Areas 2,Fisterra,A Coru&ntilde;a,15155,981740428,CPR,42.903774,-9.262226,Privada,Si,Non
15007242,CEIP Mar de F&oacute;ra,Estrada do Faro s/n,Fisterra,A Coru&ntilde;a,15155,881880658,CEIP,42.906452,-9.265121,P&uacute;blica,Non,Si
15007266,CEIP Areouta,Sardi&ntilde;eiro de Abaixo,Fisterra,A Coru&ntilde;a,15153,881880664,CEIP,42.943996,-9.234487,P&uacute;blica,Non,Si
15007400,CPI de Ponte Carreira,"R&uacute;a do ensino, s/n - Ponte Carreira",Frades,A Coru&ntilde;a,15686,881880671,CPI,43.020245,-8.255402,P&uacute;blica,Non,Si
15007621,CPI Pluriling&uuml;e Cabo da Area,R&uacute;a Isidro Parga Pondal 45,Laxe,A Coru&ntilde;a,15118,881880709,CPI,43.21452,-8.993254,P&uacute;blica,Non,Si
15007655,CEIP de Cai&oacute;n,R&uacute;a Insua s/n,A Laracha,A Coru&ntilde;a,15145,881880694,CEIP,43.320366,-8.606031,P&uacute;blica,Non,Si
15007886,CEIP Ram&oacute;n Otero Pedrayo,R&uacute;a Buenos Aires s/n,A Laracha,A Coru&ntilde;a,15145,881880686,CEIP,43.24672,-8.593647,P&uacute;blica,Non,Si
15008039,CPI Pluriling&uuml;e Cernadas de Castro,A Silva 12/14,Lousame,A Coru&ntilde;a,15214,881866801,CPI,42.773563,-8.85692,P&uacute;blica,Non,Si
15008301,IES Urbano Lugr&iacute;s,Estrada Santo Hadri&aacute;n s/n,Malpica de Berganti&ntilde;os,A Coru&ntilde;a,15113,881880725,IES,43.323727,-8.833405,P&uacute;blica,Non,Si
15008398,CEIP Francisco L&oacute;pez Estrada,O Porto do Barqueiro,Ma&ntilde;&oacute;n,A Coru&ntilde;a,15337,981414127,CEIP,43.741764,-7.704881,P&uacute;blica,Non,Si
15008490,CEIP V&iacute;ctor S&aacute;enz,San Cosme de Antes 35,Mazaricos,A Coru&ntilde;a,15256,881866101,CEIP,42.997288,-8.912584,P&uacute;blica,Non,Si
15008659,CEIP Pluriling&uuml;e de Pino de Val,R&uacute;a Igrexa s/n,Mazaricos,A Coru&ntilde;a,15256,881866097,CEIP,42.905746,-8.95352,P&uacute;blica,Non,Si
15008714,CPI Pluriling&uuml;e da Picota,R&uacute;a Dolores Gonz&aacute;lez Jurjo 14,Mazaricos,A Coru&ntilde;a,15256,881866091,CPI,42.936085,-8.992678,P&uacute;blica,Non,Si
15008805,CEIP de Melide N&deg; 1,R&uacute;a E.Alvarez Carballido 2,Melide,A Coru&ntilde;a,15800,881866136,CEIP,42.916878,-8.014504,P&uacute;blica,Non,Si
15008817,IES de Melide,O Marqui&ntilde;o,Melide,A Coru&ntilde;a,15800,881866109,IES,42.917747,-8.011087,P&uacute;blica,Non,Si
15008982,EEI de Olas,Olas (San Lourenzo),Mes&iacute;a,A Coru&ntilde;a,15685,639527483,EEI,43.108734,-8.30845,P&uacute;blica,Non,Si
15009007,EEI Visanto&ntilde;a,A Igrexa,Mes&iacute;a,A Coru&ntilde;a,15685,881880762,EEI,43.136475,-8.303952,P&uacute;blica,Non,Si
15009071,CPI Castro Baxoi,R&uacute;a Marismas s/n,Mi&ntilde;o,A Coru&ntilde;a,15630,881880765,CPI,43.35178,-8.207645,P&uacute;blica,Non,Si
15009081,CEIP de San Ram&oacute;n,"R&uacute;a Estrada da Feira, s/n (San Ramon)",Moeche,A Coru&ntilde;a,15563,881930330,CEIP,43.566097,-8.016366,P&uacute;blica,Non,Si
15009241,CPI Pluriling&uuml;e Virxe da Cela,Lugar O Xestal S/N,Monfero,A Coru&ntilde;a,15619,981777606,CPI,43.303528,-8.045914,P&uacute;blica,Non,Si
15009391,CEIP Santiago Ap&oacute;stolo,Avenida Francisco Vizoso,Mugardos,A Coru&ntilde;a,15626,881930336,CEIP,43.446617,-8.219297,P&uacute;blica,Non,Si
15009445,CEIP Pluriling&uuml;e Uni&oacute;n Mugardesa,Avenida Francisco Ya&ntilde;ez Badia 1,Mugardos,A Coru&ntilde;a,15620,881930341,CEIP,43.456177,-8.253028,P&uacute;blica,Non,Si
15009470,CPR Loyola,Curros Enriquez 8,Mugardos,A Coru&ntilde;a,15620,981470265,CPR,43.458588,-8.249745,Privada,Si,Non
15009597,CEIP de Vilarmide-Eduardo Noya,Lugar Vilarmide,Mux&iacute;a,A Coru&ntilde;a,15124,881880798,CEIP,43.038464,-9.174689,P&uacute;blica,Non,Si
15009676,CEIP Virxe da Barca,R&uacute;a Enfesto 13,Mux&iacute;a,A Coru&ntilde;a,15124,881880794,CEIP,43.10161,-9.215475,P&uacute;blica,Non,Si
15009810,CEIP Pluriling&uuml;e Ricardo Tob&iacute;o,R&uacute;a Freixeiros 13,Muros,A Coru&ntilde;a,15240,881866814,CEIP,42.78778,-8.980959,P&uacute;blica,Non,Si
15009998,CEIP Ram&oacute;n de Artaza y Malv&aacute;rez,R&uacute;a Valdexeria s/n,Muros,A Coru&ntilde;a,15259,881867360,CEIP,42.78925,-9.065308,P&uacute;blica,Non,Si
15010058,CPI do Feal,R&uacute;a R&iacute;o Seco (O Feal) s/n,Nar&oacute;n,A Coru&ntilde;a,15572,881938177,CPI,43.525887,-8.188328,P&uacute;blica,Non,Si
15010071,CPR Jorge Juan,R&uacute;a Marcial Calvo 1,Nar&oacute;n,A Coru&ntilde;a,15570,981383020,CPR,43.515434,-8.157864,Privada,Si,Non
15010137,CPR Ayala,R&uacute;a Cristobal Colon 71,Nar&oacute;n,A Coru&ntilde;a,15407,981380394,CPR,43.499924,-8.205451,Privada,Si,Non
15010162,CEIP Pluriling&uuml;e Ponte de Xubia,R&uacute;a do Foro (Ponte de Xubia) 32,Nar&oacute;n,A Coru&ntilde;a,15570,881938190,CEIP,43.515686,-8.156421,P&uacute;blica,Non,Si
15010204,CPR Santiago Ap&oacute;stol,R&uacute;a Ferrol s/n,Nar&oacute;n,A Coru&ntilde;a,15570,981383851,CPR,43.493744,-8.199631,Privada,Si,Non
15010307,CEIP San Isidro,R&uacute;a Roseira 1,Neda,A Coru&ntilde;a,15510,881930404,CEIP,43.49882,-8.157541,P&uacute;blica,Non,Si
15010575,CEIP O Coto,R&uacute;a Rosalia Castro,Negreira,A Coru&ntilde;a,15830,881866821,CEIP,42.91156,-8.734538,P&uacute;blica,Non,Si
15010681,CEIP Pluriling&uuml;e Alexandre Rodr&iacute;guez Cadarso,Lugar A BARQUI&ntilde;A,Noia,A Coru&ntilde;a,15210,881866828,CEIP,42.802364,-8.8943405,P&uacute;blica,Non,Si
